Project Name,Package Name,Type Name,Method Name,Code Smell
Sistema-Academia,control,Email,comunicarAniversariantes,Long Statement
Sistema-Academia,control,Email,comunicarAniversariantes,Long Statement
Sistema-Academia,control,Email,comunicarDevedores,Long Statement
Sistema-Academia,control,Email,comunicarDevedores,Long Statement
Sistema-Academia,control,Email,comunicarDevedores,Magic Number
Sistema-Academia,control,Email,comunicarDevedores,Magic Number
Sistema-Academia,control,Email,enviarEmail,Empty catch clause
Sistema-Academia,control,Email,enviarEmail,Long Parameter List
Sistema-Academia,control,Padronizador,padronizarData,Magic Number
Sistema-Academia,control,Padronizador,padronizarData,Magic Number
Sistema-Academia,control,Padronizador,padronizarData,Magic Number
Sistema-Academia,control,Padronizador,padronizarData,Magic Number
Sistema-Academia,control,Padronizador,padronizarData,Magic Number
Sistema-Academia,control,Padronizador,padronizarData,Magic Number
Sistema-Academia,control,SistemaAcademia,start,Magic Number
Sistema-Academia,control,SistemaAcademia,start,Magic Number
Sistema-Academia,control,SistemaAcademia,init,Empty catch clause
Sistema-Academia,control,SistemaAcademia,init,Magic Number
Sistema-Academia,control,SistemaAcademia,changeScreen,Complex Method
Sistema-Academia,control,SistemaAcademia,changeScreen,Long Method
Sistema-Academia,control,SistemaAcademia,changeScreen,Magic Number
Sistema-Academia,control,SistemaAcademia,changeScreen,Magic Number
Sistema-Academia,control,TelaAtualizarClienteController,initialize,Long Statement
Sistema-Academia,control,TelaAtualizarClienteController,clickAtualizar,Long Statement
Sistema-Academia,control,TelaAtualizarClienteController,clickAtualizar,Long Statement
Sistema-Academia,control,TelaAtualizarClienteController,clickExcluir,Long Statement
Sistema-Academia,control,TelaAtualizarFornecedorController,initialize,Long Statement
Sistema-Academia,control,TelaAtualizarFornecedorController,clickExcluir,Long Statement
Sistema-Academia,control,TelaAtualizarFornecedorController,clickAtualizar,Long Statement
Sistema-Academia,control,TelaAtualizarFornecedorController,clickAtualizar,Long Statement
Sistema-Academia,control,TelaAtualizarFuncionarioController,initialize,Long Statement
Sistema-Academia,control,TelaAtualizarFuncionarioController,clickAtualizar,Long Statement
Sistema-Academia,control,TelaAtualizarFuncionarioController,clickAtualizar,Long Statement
Sistema-Academia,control,TelaAtualizarFuncionarioController,clickExcluir,Long Statement
Sistema-Academia,control,TelaAtualizarPlanoController,clickAtualizar,Long Statement
Sistema-Academia,control,TelaAtualizarProdutoController,initialize,Long Statement
Sistema-Academia,control,TelaAtualizarProdutoController,clickExcluir,Long Statement
Sistema-Academia,control,TelaAtualizarProdutoController,clickAtualizar,Long Statement
Sistema-Academia,control,TelaCadastroClienteController,clickSalvar,Long Statement
Sistema-Academia,control,TelaCadastroClienteController,clickSalvar,Long Statement
Sistema-Academia,control,TelaCadastroFornecedorController,clickSalvar,Long Statement
Sistema-Academia,control,TelaCadastroFornecedorController,clickSalvar,Long Statement
Sistema-Academia,control,TelaCadastroFuncionarioController,clickSalvar,Long Statement
Sistema-Academia,control,TelaCadastroFuncionarioController,clickSalvar,Long Statement
Sistema-Academia,control,TelaCadastroPlanoController,clickSalvar,Long Statement
Sistema-Academia,control,TelaCadastroProdutoController,clickSalvar,Long Statement
Sistema-Academia,control,TelaCadastroVendaController,clickSalvar,Long Statement
Sistema-Academia,control,TelaConsultaClienteController,initialize,Long Statement
Sistema-Academia,control,TelaConsultaClienteController,initialize,Long Statement
Sistema-Academia,control,TelaConsultaClienteController,initialize,Long Statement
Sistema-Academia,control,TelaConsultaFuncionarioController,initialize,Long Statement
Sistema-Academia,control,TelaPagamentoController,initialize,Long Statement
Sistema-Academia,control,TelaPagamentoController,clickRealizarPagamento,Long Statement
Sistema-Academia,control,TelaPagamentoController,calcularDiasRestantes,Empty catch clause
Sistema-Academia,control,TelaRelatorioRecebimentoController,initialize,Long Statement
