Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
Sistema-Academia,control,Email,abrirConexao,8,1,0
Sistema-Academia,control,Email,getPasswordAuthentication,3,1,0
Sistema-Academia,control,Email,configurarPropriedades,8,1,0
Sistema-Academia,control,Email,comunicarAniversariantes,14,3,0
Sistema-Academia,control,Email,comunicarDevedores,29,3,0
Sistema-Academia,control,Email,enviarEmail,19,2,5
Sistema-Academia,control,Padronizador,padronizarPreco,5,1,1
Sistema-Academia,control,Padronizador,padronizarRg,4,1,1
Sistema-Academia,control,Padronizador,padronizarCpf,4,1,1
Sistema-Academia,control,Padronizador,padronizarCnpj,4,1,1
Sistema-Academia,control,Padronizador,padronizarData,14,1,1
Sistema-Academia,control,Padronizador,padronizarPeso,4,1,1
Sistema-Academia,control,Padronizador,padronizarAltura,4,1,1
Sistema-Academia,control,Padronizador,padronizarPhone,4,1,1
Sistema-Academia,control,Padronizador,padronizarCep,4,1,1
Sistema-Academia,control,PreCarregamento,init,4,1,0
Sistema-Academia,control,PreCarregamento,start,6,1,1
Sistema-Academia,control,PreCarregamento,handleStateChangeNotification,8,2,1
Sistema-Academia,control,SistemaAcademia,start,12,1,1
Sistema-Academia,control,SistemaAcademia,init,10,1,0
Sistema-Academia,control,SistemaAcademia,changeScreen,315,29,1
Sistema-Academia,control,SistemaAcademia,main,3,1,1
Sistema-Academia,control,StartController,initialize,2,1,2
Sistema-Academia,control,TelaAtualizarClienteController,enviarId,3,1,1
Sistema-Academia,control,TelaAtualizarClienteController,initialize,58,4,2
Sistema-Academia,control,TelaAtualizarClienteController,clickCancelar,3,1,1
Sistema-Academia,control,TelaAtualizarClienteController,clickAtualizar,41,3,1
Sistema-Academia,control,TelaAtualizarClienteController,clickExcluir,23,3,1
Sistema-Academia,control,TelaAtualizarClienteController,calcularDataVencimento,17,3,1
Sistema-Academia,control,TelaAtualizarClienteController,buscarIdPlano,12,3,1
Sistema-Academia,control,TelaAtualizarFornecedorController,enviarId,3,1,1
Sistema-Academia,control,TelaAtualizarFornecedorController,initialize,44,3,2
Sistema-Academia,control,TelaAtualizarFornecedorController,clickCancelar,3,1,1
Sistema-Academia,control,TelaAtualizarFornecedorController,clickExcluir,23,3,1
Sistema-Academia,control,TelaAtualizarFornecedorController,clickAtualizar,30,3,1
Sistema-Academia,control,TelaAtualizarFuncionarioController,enviarId,3,1,1
Sistema-Academia,control,TelaAtualizarFuncionarioController,initialize,50,3,2
Sistema-Academia,control,TelaAtualizarFuncionarioController,clickCancelar,3,1,1
Sistema-Academia,control,TelaAtualizarFuncionarioController,clickAtualizar,37,3,1
Sistema-Academia,control,TelaAtualizarFuncionarioController,clickExcluir,23,3,1
Sistema-Academia,control,TelaAtualizarPlanoController,enviarId,3,1,1
Sistema-Academia,control,TelaAtualizarPlanoController,initialize,13,3,2
Sistema-Academia,control,TelaAtualizarPlanoController,clickCancelar,3,1,1
Sistema-Academia,control,TelaAtualizarPlanoController,clickExcluir,23,3,1
Sistema-Academia,control,TelaAtualizarPlanoController,clickAtualizar,24,3,1
Sistema-Academia,control,TelaAtualizarProdutoController,enviarId,3,1,1
Sistema-Academia,control,TelaAtualizarProdutoController,initialize,13,3,2
Sistema-Academia,control,TelaAtualizarProdutoController,clickCancelar,3,1,1
Sistema-Academia,control,TelaAtualizarProdutoController,clickExcluir,23,3,1
Sistema-Academia,control,TelaAtualizarProdutoController,clickAtualizar,24,3,1
Sistema-Academia,control,TelaCadastroClienteController,initialize,35,2,2
Sistema-Academia,control,TelaCadastroClienteController,clickCancelar,3,1,1
Sistema-Academia,control,TelaCadastroClienteController,clickSalvar,61,3,1
Sistema-Academia,control,TelaCadastroClienteController,calcularDataVencimento,17,3,1
Sistema-Academia,control,TelaCadastroClienteController,buscarIdPlano,12,3,1
Sistema-Academia,control,TelaCadastroController,clickHome,3,1,1
Sistema-Academia,control,TelaCadastroController,clickConsultar,3,1,1
Sistema-Academia,control,TelaCadastroController,clickPagamento,3,1,1
Sistema-Academia,control,TelaCadastroController,clickAutorizarAcesso,5,1,1
Sistema-Academia,control,TelaCadastroController,clickRelatorio,3,1,1
Sistema-Academia,control,TelaCadastroController,clickCadastroCliente,3,1,1
Sistema-Academia,control,TelaCadastroController,clickCadastroFuncionario,3,1,1
Sistema-Academia,control,TelaCadastroController,clickCadastroFornecedor,3,1,1
Sistema-Academia,control,TelaCadastroController,clickCadastroProduto,3,1,1
Sistema-Academia,control,TelaCadastroController,clickCadastroVenda,3,1,1
Sistema-Academia,control,TelaCadastroController,clickCadastroPlano,3,1,1
Sistema-Academia,control,TelaCadastroController,initialize,2,1,2
Sistema-Academia,control,TelaCadastroFornecedorController,initialize,28,1,2
Sistema-Academia,control,TelaCadastroFornecedorController,clickCancelar,3,1,1
Sistema-Academia,control,TelaCadastroFornecedorController,clickSalvar,40,3,1
Sistema-Academia,control,TelaCadastroFuncionarioController,initialize,28,1,2
Sistema-Academia,control,TelaCadastroFuncionarioController,clickCancelar,3,1,1
Sistema-Academia,control,TelaCadastroFuncionarioController,clickSalvar,55,3,1
Sistema-Academia,control,TelaCadastroPlanoController,initialize,2,1,2
Sistema-Academia,control,TelaCadastroPlanoController,clickCancelar,3,1,1
Sistema-Academia,control,TelaCadastroPlanoController,clickSalvar,28,3,1
Sistema-Academia,control,TelaCadastroProdutoController,initialize,2,1,2
Sistema-Academia,control,TelaCadastroProdutoController,clickCancelar,3,1,1
Sistema-Academia,control,TelaCadastroProdutoController,clickSalvar,28,3,1
Sistema-Academia,control,TelaCadastroVendaController,initialize,76,7,2
Sistema-Academia,control,TelaCadastroVendaController,handle,21,3,1
Sistema-Academia,control,TelaCadastroVendaController,inserirCaractere,13,3,1
Sistema-Academia,control,TelaCadastroVendaController,clickAdicionar,29,4,1
Sistema-Academia,control,TelaCadastroVendaController,clickRemover,10,2,1
Sistema-Academia,control,TelaCadastroVendaController,clickCancelar,4,1,1
Sistema-Academia,control,TelaCadastroVendaController,clickSalvar,25,4,1
Sistema-Academia,control,TelaCadastroVendaController,buscarIdCliente,11,3,1
Sistema-Academia,control,TelaCadastroVendaController,buscarIdFuncionario,11,3,1
Sistema-Academia,control,TelaConsultaClienteController,initialize,72,3,2
Sistema-Academia,control,TelaConsultaClienteController,inserirCaractere,13,3,1
Sistema-Academia,control,TelaConsultaClienteController,clickCancelar,3,1,1
Sistema-Academia,control,TelaConsultaClienteController,clickEditar,14,2,1
Sistema-Academia,control,TelaConsultaController,clickHome,3,1,1
Sistema-Academia,control,TelaConsultaController,clickCadastrar,3,1,1
Sistema-Academia,control,TelaConsultaController,clickPagamento,3,1,1
Sistema-Academia,control,TelaConsultaController,clickAutorizarAcesso,5,1,1
Sistema-Academia,control,TelaConsultaController,clickRelatorio,3,1,1
Sistema-Academia,control,TelaConsultaController,clickConsultaCliente,3,1,1
Sistema-Academia,control,TelaConsultaController,clickConsultaFuncionario,3,1,1
Sistema-Academia,control,TelaConsultaController,clickConsultaFornecedor,3,1,1
Sistema-Academia,control,TelaConsultaController,clickConsultaProduto,3,1,1
